s,CompSpecies,Treatment,Mean_interaction,p-value,with BH correction,corrected p<0.05?
1,101,Ancestral,-1.99391893912092,0.0151914817496372,0.037179153,TRUE
101,1,Ancestral,13.5847321503424,9.81041982356402e-08,9.12369E-06,TRUE
1,103,Ancestral,-1.27437959839908,0.0272869145339658,0.056392957,FALSE
103,1,Ancestral,2.95576939422932,0.00101701528827802,0.003940934,TRUE
101,103,Ancestral,2.55045206937822,0.00197201425136168,0.006549904,TRUE
103,101,Ancestral,-14.8268405063669,0.43688257790637,0.514304807,FALSE
2,1,Ancestral,-0.982528169019456,0.270375500523744,0.375297337,FALSE
1,2,Ancestral,-2.88864305324833,0.00175038459981282,0.006260991,TRUE
2,101,Ancestral,2.12491114720347,0.0600828182070174,0.105428341,FALSE
101,2,Ancestral,9.59175313840767,0.00273601955906261,0.008208059,TRUE
2,103,Ancestral,-1.38400025391338,0.201760188082477,0.288672269,FALSE
103,2,Ancestral,-0.372657502791281,0.912984094255193,0.922907834,FALSE
1w,2,Ancestral,4.74137827087163,0.000864773875703541,0.003655635,TRUE
2,1w,Ancestral,-2.38918989395508,0.0806098144896281,0.136303868,FALSE
1w,101,Ancestral,-2.25196891538307,5.70581804799433e-06,5.89601E-05,TRUE
101,1w,Ancestral,2.32493367455053,0.000287056478428633,0.00177975,TRUE
1w,103,Ancestral,4.10529814181568,0.00187907744030765,0.006472378,TRUE
103,1w,Ancestral,-14.8818841553886,0.454635089664489,0.521988436,FALSE
101,108,Ancestral,2.69789694863295,2.81166426622592e-05,0.000217904,TRUE
108,101,Ancestral,-3.94488980560563,0.0173123787684872,0.040251281,TRUE
101,109,Ancestral,2.35078477083037,0.000322882722722682,0.001876756,TRUE
109,101,Ancestral,-14.3260171290213,0.0225627834679847,0.049960449,TRUE
103,108,Ancestral,-26.1139753457446,0.436612466233526,0.514304807,FALSE
108,103,Ancestral,-2.8815904284777,0.0249487526519608,0.052732591,FALSE
2,3,Ancestral,-0.380122731799526,0.667914016687709,0.697932624,FALSE
3,2,Ancestral,-5.3341403721295,3.24431011911061e-06,5.36325E-05,TRUE
3,101,Ancestral,-3.5504671210153,4.61355100774243e-06,5.36325E-05,TRUE
101,3,Ancestral,-0.617308185397024,0.117513333315958,0.188426552,FALSE
3,109,Ancestral,-2.1900699027569,0.66354291906185,0.697932624,FALSE
109,3,Ancestral,-0.940658635583305,0.780121307601927,0.806125351,FALSE
2,108,Ancestral,-3.28776174532206,0.0540693126827028,0.098596982,FALSE
108,2,Ancestral,5.99507252695345,1.2078458814311e-05,0.000102118,TRUE
2,109,Ancestral,-4.20698625523259,0.0452070314495555,0.087588623,FALSE
109,2,Ancestral,-1.28568751282239,0.153401681677281,0.230102523,FALSE
114,1,Ancestral,-6.90312332943006,0.179384814783944,0.260668559,FALSE
1,114,Ancestral,-7.54924638665907,3.76559883603574e-06,5.36325E-05,TRUE
2,114,Ancestral,-3.33083928444164,0.0537919453142936,0.098596982,FALSE
3,114,Ancestral,-6.62822526224506,2.83031688253106e-06,5.36325E-05,TRUE
114,101,Ancestral,1.11467664021458,0.23921311919161,0.337073032,FALSE
101,114,Ancestral,9.54106403993025,0.000111110634967329,0.000794868,TRUE
108,114,Ancestral,3.90636588310146,2.8953181696024e-06,5.36325E-05,TRUE
109,114,Ancestral,-3.988731839201,0.0301043349613118,0.060863112,FALSE
114,119,Ancestral,1.49216104615435,0.0769916954146169,0.132596809,FALSE
119,114,Ancestral,10.0616775778483,0.00232457273547159,0.007206175,TRUE
122,114,Ancestral,-9.81838954326659,0.355675925886301,0.447863742,FALSE
1,1w,Ancestral,-0.650882388230663,0.114715281571568,0.187167038,FALSE
1w,1,Ancestral,3.51625962445905,0.000614473040897292,0.0028573,TRUE
1,3,Ancestral,0.181120826106422,0.483919931868038,0.54883602,FALSE
3,1,Ancestral,-4.02643329222415,4.57208946882304e-06,5.36325E-05,TRUE
1,108,Ancestral,-0.711639205015774,0.139080308679369,0.212040471,FALSE
108,1,Ancestral,2.15068804491473,0.00036145798702842,0.001977388,TRUE
109,1,Ancestral,-0.819883974057389,0.343249922119619,0.447863742,FALSE
101,119,Ancestral,1.6400237424344,0.00134465695077739,0.005002124,TRUE
119,101,Ancestral,1.45507117872048,0.0924314667861712,0.153502257,FALSE
101,122,Ancestral,3.02780143218299,0.000480362084256174,0.002351246,TRUE
122,101,Ancestral,-12.3964711550994,0.355259637988589,0.447863742,FALSE
108,1w,Ancestral,-2.89684778682709,0.0243166344172586,0.052591791,FALSE
1w,108,Ancestral,2.23233486773326,0.00336095532051608,0.009268607,TRUE
108,3,Ancestral,-3.96149491202774,0.0172154668617355,0.040251281,TRUE
3,108,Ancestral,-1.43407992802086,0.000120025878821917,0.000797315,TRUE
108,109,Ancestral,-1.04450005279267,0.573998226532469,0.626078954,FALSE
109,108,Ancestral,0.128670666463462,0.58178190315068,0.626078954,FALSE
108,119,Ancestral,-1.93373708393056,0.0482072246799675,0.091495345,FALSE
119,108,Ancestral,2.96610588272167,0.00317346395687667,0.00922288,TRUE
108,122,Ancestral,-3.60951554704041,0.0185972382791176,0.04218398,TRUE
122,108,Ancestral,-8.94887771906543,0.356085158566036,0.447863742,FALSE
119,1w,Ancestral,0.206316612845119,0.529594807315906,0.586337108,FALSE
1w,119,Ancestral,-14.943064208162,3.60275416230157e-07,1.67528E-05,TRUE
119,1,Ancestral,13.7235796590072,0.00213303424681462,0.00684042,TRUE
1,119,Ancestral,-0.862369283745505,0.000744629635698127,0.003297646,TRUE
119,2,Ancestral,12.3180608153348,7.51836968580161e-06,6.99208E-05,TRUE
2,119,Ancestral,-3.11336428551498,0.00338852306099974,0.009268607,TRUE
119,3,Ancestral,-1.34381888272687,0.0565435746575516,0.101126009,FALSE
3,119,Ancestral,1.12547441910367,0.000470050451101929,0.002351246,TRUE
119,103,Ancestral,2.50524032635504,0.00912572739245088,0.023574796,TRUE
103,119,Ancestral,-14.9463523305681,0.43687874938053,0.514304807,FALSE
119,109,Ancestral,5.56262315347027,0.0350849980793716,0.069423507,FALSE
109,119,Ancestral,1.0478540943684,0.133431986241589,0.208288038,FALSE
119,122,Ancestral,4.99525798472196,0.000995658814255502,0.003940934,TRUE
122,119,Ancestral,-8.77297596976048,0.356215460070985,0.447863742,FALSE
122,1,Ancestral,-8.74086387839394,0.356364504883388,0.447863742,FALSE
122,103,Ancestral,-8.89100780107569,0.356364698227487,0.447863742,FALSE
103,122,Ancestral,-1.39104261904577,0.443010599763564,0.514999822,FALSE
122,109,Ancestral,-5.96164252544076,0.362514765483611,0.449518309,FALSE
109,122,Ancestral,-0.557762840196357,0.585686763506738,0.626078954,FALSE
103,3,Ancestral,-26.1139753457446,0.436612466233526,0.514304807,FALSE
3,103,Ancestral,0.162889207347863,0.169564949073626,0.250310163,FALSE
103,109,Ancestral,-0.57173448233829,0.801722092047097,0.819342358,FALSE
109,103,Ancestral,0.0526323181736157,0.941494624922501,0.941494625,FALSE
103,114,Ancestral,-3.01297686601013,0.495661421425056,0.555379665,FALSE
114,103,Ancestral,-2.20072163752844,0.0122596065708606,0.030814687,TRUE
114,1w,Ancestral,-1.44254559626026,0.134379379127705,0.208288038,FALSE
1w,114,Ancestral,1.61133865448417,0.00355911619604489,0.00945708,TRUE
1,101,Selected,0.393222090672848,0.0723496389470419,0.133568564,FALSE
101,1,Selected,9.82975865492054,0.0012761932292483,0.004635214,TRUE
1,103,Selected,-0.763324409890083,0.220642088524887,0.29275375,FALSE
103,1,Selected,1.26228339162773,0.0702924705312265,0.133568564,FALSE
101,103,Selected,-0.403622961714393,0.294428422638026,0.354488215,FALSE
103,101,Selected,-10.6901294366896,0.18819147682609,0.289263181,FALSE
2,1,Selected,-0.709744659558186,0.202715659547717,0.289263181,FALSE
1,2,Selected,-3.4383683936812,5.9000352026104e-05,0.000472003,TRUE
2,101,Selected,1.45322348835505,0.147887082803063,0.24477862,FALSE
101,2,Selected,9.77473808975823,1.81612550378041e-05,0.000328434,TRUE
2,103,Selected,-0.702883004694002,0.210865052923789,0.289263181,FALSE
103,2,Selected,4.13622720213706,2.32982073290917e-05,0.000328434,TRUE
1w,2,Selected,-0.0994291472540295,0.210921069243589,0.289263181,FALSE
2,1w,Selected,-0.373333116786272,0.593520901439614,0.633088962,FALSE
1w,101,Selected,-2.53890200550922,0.0311316298496902,0.064970358,FALSE
101,1w,Selected,2.21468639282619,0.000106319006821799,0.000729045,TRUE
1w,103,Selected,3.39201692391149,0.00126749853321892,0.004635214,TRUE
103,1w,Selected,-5.87052079519925,0.969967607140108,0.969967607,FALSE
101,108,Selected,2.18095399780466,0.00180287939741311,0.005769214,TRUE
108,101,Selected,-4.83805321509586,0.00999347250541468,0.023984334,TRUE
101,109,Selected,2.38581093639421,0.00776150924281547,0.020435746,TRUE
109,101,Selected,-6.79516938936408,0.0184626589001379,0.040282165,TRUE
103,108,Selected,-26.2935123518296,0.181898879486417,0.289263181,FALSE
108,103,Selected,-1.72504019302794,0.04388177718943,0.087763554,FALSE
2,3,Selected,-0.357014672530474,0.433765644224306,0.473198885,FALSE
3,2,Selected,-3.68040644812051,0.000176444732796705,0.001040923,TRUE
3,101,Selected,-3.31128016512145,0.000200140986845588,0.001040923,TRUE
101,3,Selected,-0.332329322536304,0.228088638247253,0.29275375,FALSE
3,109,Selected,2.18774704025827,0.137902811051352,0.236404819,FALSE
109,3,Selected,-1.15793125242965,0.299008084944894,0.354488215,FALSE
2,108,Selected,0.0416656193053812,0.85784565096083,0.876097686,FALSE
108,2,Selected,4.8058407106121,3.42119178739054e-05,0.000328434,TRUE
2,109,Selected,-0.657958858322749,0.205955848079866,0.289263181,FALSE
109,2,Selected,-2.30894690240858,0.00458888360249891,0.012956848,TRUE
114,1,Selected,-0.777704834550373,0.302792017114644,0.354488215,FALSE
1,114,Selected,-4.50920016314153,8.85513438419593e-07,4.25046E-05,TRUE
114,101,Selected,-0.758586443475165,0.231763385404045,0.29275375,FALSE
101,114,Selected,10.1363632029168,0.00135193742429635,0.004635214,TRUE
114,119,Selected,-2.53659278505514,0.0762873958597624,0.135622037,FALSE
119,114,Selected,10.2395888164106,0.000216858991549275,0.001040923,TRUE
101,119,Selected,1.7783898675834,0.0171932796976147,0.039298925,TRUE
119,101,Selected,0.0374116777626219,0.739581234267298,0.77173694,FALSE
101,122,Selected,3.01303973141736,3.13105563818137e-05,0.000328434,TRUE
119,1,Selected,12.1552025797147,0.00274992587015344,0.008249778,TRUE
1,119,Selected,-0.650001881341796,0.00808914933508239,0.020435746,TRUE
119,2,Selected,11.5108110408072,0.000885971548233555,0.003866058,TRUE
2,119,Selected,-0.26502584556633,0.394905764421413,0.440825039,FALSE
1,101,Random,-2.01056752128849,0.00434649354633256,0.009520891,TRUE
101,1,Random,14.8920153900955,0.0010734537988445,0.00290464,TRUE
1,103,Random,-0.413248579112435,0.424356918627749,0.488010456,FALSE
103,1,Random,2.4838836592514,0.0508947989007214,0.083612884,FALSE
2,1,Random,-3.19881689784156,0.00405302695083157,0.009321962,TRUE
1,2,Random,-3.64950501023626,0.000990204705572068,0.002889335,TRUE
2,101,Random,0.492682414858549,0.352720631516432,0.41901652,FALSE
101,2,Random,8.74265262373832,4.17452741259677e-05,0.000320047,TRUE
2,103,Random,-2.50618735937225,0.00638147575518136,0.013343086,TRUE
103,2,Random,-0.297936618793131,0.973986503001829,0.973986499,FALSE
1w,2,Random,7.92744428643057,0.000165841832944624,0.000930968,TRUE
2,1w,Random,-1.03910302066247,0.0964412757978438,0.134433294,FALSE
1w,101,Random,0.872385733910618,0.0929532482808238,0.133620294,FALSE
101,1w,Random,2.17248225035388,0.000696768470004014,0.002465488,TRUE
1w,103,Random,6.46191116077083,0.000576346377807867,0.002410176,TRUE
103,1w,Random,-10.3352691555345,0.811706689450283,0.889012088,FALSE
101,108,Random,1.79504321122089,0.00151435225932118,0.003870011,TRUE
108,101,Random,-4.5433239477061,0.0082962355707283,0.016592471,TRUE
101,109,Random,0.331990723495257,0.286572448270295,0.35627926,FALSE
109,101,Random,-17.3354619712711,8.78726608057955e-05,0.000577449,TRUE
103,108,Random,-19.0429480707735,0.505675040848648,0.567342729,FALSE
108,103,Random,-1.89618050913771,0.0308833514518982,0.056825367,FALSE
2,3,Random,-0.558394985793086,0.257173349502801,0.328610391,FALSE
3,2,Random,-7.56671405479079,1.1193765489369e-05,0.000128728,TRUE
3,101,Random,-2.70819682732745,2.90379160599874e-05,0.000267149,TRUE
101,3,Random,-0.0305768719438993,0.971656983822085,0.973986499,FALSE
3,109,Random,0.824319805361832,0.0679130510191476,0.104133345,FALSE
109,3,Random,-0.414716814917693,0.192036647659486,0.252391023,FALSE
2,108,Random,-0.760233716307487,0.14591441466033,0.19741362,FALSE
108,2,Random,5.59912749403864,4.51182909518457e-15,2.07544E-13,TRUE
2,109,Random,-1.20862099694063,0.0444373091524575,0.078619855,FALSE
109,2,Random,-2.06285855518716,0.00083493768527155,0.002743367,TRUE
114,1,Random,0.0137777007446628,0.892520828551842,0.933089957,FALSE
1,114,Random,-2.80017486193961,0.00100498612637834,0.002889335,TRUE
114,101,Random,-0.579594594797142,0.0483842281997535,0.082432389,FALSE
101,114,Random,12.356883814495,0.000484142204163436,0.002227054,TRUE
114,119,Random,-0.0453441120608958,0.876193310837906,0.933089957,FALSE
119,114,Random,10.8669726518579,0.00264596568658137,0.006406022,TRUE
101,119,Random,1.20440069137471,0.0257480798099076,0.049350486,TRUE
119,101,Random,1.02422950312317,0.0656496734959054,0.104133345,FALSE
101,122,Random,2.76831441024176,5.55198053023933e-06,8.51304E-05,TRUE
119,1,Random,12.6930395970242,8.00028592810435e-07,1.84007E-05,TRUE
1,119,Random,-0.60693948541493,0.0809822143740982,0.120167157,FALSE
119,2,Random,12.6462283096534,0.000662407805041612,0.002465488,TRUE
2,119,Random,-2.01346145112543,0.000182145903431808,0.000930968,TRUE
,,,,,,
