DW039,DW067,DW100,DW102,DW145,DW147,DW155
2.4763400089871457,0.14555586311342947,0.2268403062124585,1.4177519140858965,0.6049074831988185,0,0.16823989375531778
2.076110273755948,0.1562025825242464,0.4053358153130328,3.1833690864945954,0.9688514610173008,0,0.19179304433647126
3.6214855902645655,0.052511541,0.30058330400228017,1.4485942361058264,0.9778011093714327,0,0.19374947902238746
2.600310874,0.084010044,0.3700442398182844,1.2801530462930144,0.6800813055980346,0,0.136016261
1.4224777532008845,0.087664327,0.2944198141234123,1.4555586311342945,1.0420476569666675,0,0.24149040932674365
2.0868068600020817,0.14852048831527853,0.35156115574704533,1.598005253,0.6956022868737851,0,0.10904035843940113
2.036860427329487,0.087294018,0.2533238178726915,1.7972297887594222,0.5306106996023894,0,0.171164742
2.7601039889148433,0.036930969,0.21964207805580022,2.2741701888563544,0.8163687855845186,0,0.13606146426408644
2.8971884722116528,0.1020600484500956,0.27490367888328127,2.814881981101589,0.8230649068689274,0,0.19918170741294494
1.9848526791009808,0.071832764,0.22494997025682623,1.9092392439720611,0.5481974065940978,0,0.13610418374811756
2.115655231095726,0.06524918,0.24320148918781967,1.6608882185919092,0.9490789822441996,0,0.13840735161813397
2.0361617964222516,0.066701852,0.23170116987720069,1.4218026330324223,1.0882933740565957,0,0.24925428878696196
0.605257545,0.10353089594569545,0.2516597162431915,2.3095353705405244,0.5734018851424248,0.366340093,0
0.5604289917279454,0.14789098397551345,0.23195533273986588,1.5723146711421243,0.5759964637633934,0.23351208,0
0.522807601,0.13323161445740436,0.25634437218981926,1.9731770753066227,0.8938323503022897,0.40475427178631407,0
0.8160975666763566,0.084810139,0.24322907867181792,1.5841893942457403,0.7040841751515209,0.30403634836557547,0
0.5184181426664696,0.16023833506229732,0.2544961791740907,2.1679304148808836,0.6598049088857657,0.2984831730722851,0
2.1679304148808836,0.14295773027234424,0.38959908907798235,2.812025683,0,0.2670638917016873,0.039274102
1.1639202443357242,0.13522014601338916,0.48268457188837655,1.2666190898795193,0,0.2396306385700645,0.05306107
2.139115840667749,0.16578147770335672,0.468822888,2.709546731168441,0,0.16043368805008118,0.067738668
1.920229568407398,0.1488177915618946,0.42245050513219745,2.1602582649743844,0,0.24002869605092475,0.059207078
1.7288499047653192,0.12966374285739896,0.5030953222701939,2.0400428879533563,0,0.20746198855119583,0.074340546
0.7134493500877918,0.068174049,0.14427531298656038,0,1.4744619906906171,0.11098100999760124,0.19659493205767817
0.9829746601851785,0.1263824563154208,0.2001055557983455,0,1.7553118930403728,0.2808499028658172,0.17202056556336995
1.1751900017300358,0.12092534807440919,0.25036656564430154,0,1.6520786986377107,0.22141260905002172,0.13114439157220134
1.032123393173795,0.084446459,0.11728674918676313,0,1.5950997889812635,0.17202056556336995,0.1798396821001318
0.9382939938037421,0.11641795849486038,0.19460912468817734,0,2.050346135070721,0.31276466456684326,0.17897089140822903
1.1869419021498642,0.077409254,0,2.8555413881248737,0.619274036,0.17202056556336995,0.362963393
0.7372309951388839,0.086656977,0,2.147023599573948,0.5949583469867804,0.2716114192182362,0.27678497013519443
1.5676067662032158,0.077686707,0,2.0670213115536646,0.9988290901848359,0.16647151504800806,0.18034414128480666
1.0251730673289359,0.083403911,0,3.8921824927314237,0.6081535144699327,0.19113396171414165,0.30581433872198416
1.064580103774294,0.083089179,0,2.9600519952057143,0.8308917881731884,0.22070563125769357,0.35053247314362734
1.1009316197294223,0,0.23566817474027907,2.9931578402040055,0.9117089972691149,0.17202056556336995,0.17890138811572034
1.4003684233140428,0,0.2524120860998651,2.4549668648493235,1.037309943272041,0.2593274857147979,0.19881773900672678
1.624283407170615,0,0.19056553358580464,2.9927741514289634,1.0487499163921077,0.24300302940541005,0.34787802104462084
1.1747745937388745,0,0.228241921,1.997116809975361,0.9062546867017727,0.16782494196269634,0.1762161890608312
1.492015108877892,0,0.2404777293836875,1.8781837255119138,1.1058464922438704,0.31595614078855205,0.2808499028658172
0,0.21841615378200122,0.3097797736221692,2.055681447177872,1.099218551895479,0.4568180993040522,0.6995027146173869
0,0.161156109,0.2607469624371213,2.4445027736866125,0.6156525503449761,0.5251154105367558,0.3386089026329701
0,0.18358497333753998,0.26742692964866654,2.009315848955827,0.9251526213143284,0.6794089562680338,0.5175072475328657
0,0.18153659679012285,0.3206170540782802,2.4741681344376043,1.010163321024724,0.5270417327130391,0.6485541321374424
0,0.16861421766196436,0.2486633917452049,2.3674117434831614,0.7323647839396293,0.5961108706701381,0.4564506094992412
